,count
checkpoint,22
inhibitor,148
therapies,27
effect,142
carpet,1
dust,30
biochemical,9
indices,2
histological,3
structure,14
rats,220
role,171
cytochrome,18
P,40
E,26
extracellular,21
signal,45
regulated,46
kinase/mitogen,1
activated,65
protein,170
kinase,152
Dehydrocostus,2
lactone,2
inhibits,176
BLM,3
mice,410
via,590
JNK,25
p,177
MAPK,87
mediated,277
NF,199
Nicotinic,6
acetylcholine,8
Radiation,26
Mesenchymal,17
Transition,13
Review,25
Targeting,64
Pathways,70
Mediators,5
Protective,60
alogliptin,1
cyclophosphamide,6
Impact,18
PIK/Akt/FoxO,2
downstream,7
inflammatory,214
cascades,3
IL,85
/STAT,2
mediating,12
protective,36
agomelatine,1
methotrexate,6
lung/intestinal,1
tissues,19
damage,105
Toxicological,14
research,11
safety,25
consideration,3
coumarins,1
Penehyclidine,4
hydrochloride,5
renal,12
ischemia/reperfusion,2
Nrf,87
Airborne,12
cell,821
invasion,31
Hydrocarbon,7
Receptor,35
Activator,4
Protein,35
AP,15
deregulation,8
organic,18
extract,63
ERÎ,1
contribute,14
Transient,4
TRP,4
channels,9
molecular,71
targets,33
diseases,34
glycoprotein,2
induction,54
antidotal,1
NEMO,1
Binding,6
Domain,4
Peptide,10
Attenuates,22
Lipopolysaccharide,47
Inhibiting,26
Phosgene,2
animal,9
models,43
medical,4
countermeasures,1
Respiratory,25
effects,239
air,58
pollution,42
children,5
Sipeimine,2
attenuates,153
suppression,36
NLRP,46
inflammasome,38
pyroptosis,17
PIK/AKT,17
integrated,9
response,180
disease,75
Single,17
intratracheal,18
administration,23
cross,10
linked,7
water,28
acrylic,1
acid,121
polymer,1
alveolo,3
interstitial,10
subsequent,6
fibrotic,20
formation,31
possibly,3
TGF,81
Î,109
Apelin,2
Administration,7
Protects,19
Inflammasome,10
Activation,70
Artocarmitin,1
enhances,49
intracellular,16
antioxidant,15
capacity,8
Translocation,4
intratracheally,1
instilled,2
ultrafine,22
blood,18
circulation,1
mouse,110
Fine,15
chalk,1
ERK,34
rat,124
Sulfur,11
mustard,33
approaches,10
mitigating,4
Comparison,23
impact,15
cigarettes,6
e,7
cigs,1
risk,47
inductor,1
narrative,5
review,51
Carbon,35
monoxide,10
physiology,3
Pleural,4
caspase,45
/IL,5
diminishes,2
profibrotic,3
bleomycin,103
Timosaponin,2
II,74
lipopolysaccharide,153
Dexamethasone,2
ameliorates,67
HS,7
increasing,6
claudin,3
expression,301
PIK,30
fate,6
inhaled,24
quartz,12
Transforming,7
growth,186
factor,201
beta,40
focus,7
perturbation,1
analysis,131
assessment,42
biological,37
cigarette,73
smoke,96
variation,5
PPAR,5
molecules,8
tissue,59
hyperbaric,5
exposure,285
regulation,86
methionine,2
like,66
TiO,20
Nanoparticles,44
Caused,5
DNA,168
Damage,19
Extra,1
Organs,6
ROS,69
Activated,11
FOXOa,5
Intratracheal,2
Rats,35
Chronic,32
cannabis,1
hyperoxic,6
transduction,14
transcriptomic,14
responses,123
hexavalent,9
supports,1
epigenetic,11
mediators,11
Alcoholic,1
immunological,2
aspects,7
stretch,3
ion,9
respiratory,76
distress,16
syndrome,24
finally,2
new,60
target?,2
concentration,11
hydrogen,15
gas,12
alleviates,66
Cytokines,4
tolerance,4
developing,6
adult,13
Signal,14
death,80
Modulation,24
Rho/ROCK,4
heart,7
thorax,1
irradiation,8
reveals,43
improve,6
normal,25
Styrene,2
tract,7
tumors,55
CYPF,3
generated,10
metabolites,27
Looking,1
ahead,1
next,3
bronchopulmonary,4
dysplasia?,1
mercapturic,1
biotransformation,3
hexachlorobenzene,2
splenomegaly,1
skin,14
lesions,5
Brown,4
Norway,4
unfolded,2
Subtoxic,1
toxic,21
concentrations,7
benzene,5
toluene,5
induce,88
antioxidative,3
affect,7
central,7
carbon,92
metabolism,60
titanium,22
dioxide,44
nanoparticles,152
isolated,12
confectionery,1
products,13
fibroblast,54
crisis,1
recovery,8
complete,3
insight,5
chlorine,5
defining,1
kinetic,2
Time,9
paradigms,1
Diesel,19
exhaust,48
distort,1
progenitors,1
niche,3
Increase,4
independent,44
N,74
acetyl,4
cysteine,4
Expression,51
xenobiotic,10
metabolizing,3
enzymes,12
possible,12
susceptibility,23
ILD,1
silver,14
vapours,2
airway,171
Wnta,5
non,365
canonical,12
Wnt,16
YAP/TAZ,3
Mysteries,1
antitrypsin,9
deficiency,24
emerging,11
strategies,11
challenging,2
nitrogen,15
inï¬_mmation,1
Holtzman,1
adversely,3
affected,2
gestational,1
tetrachlorodibenzo,4
dioxin,5
Perfluorooctane,1
sulfonate,2
apoptosis,387
mitochondrion,1
Early,16
life,6
Widespread,1
Environmental,9
Toxicants,1
Health,11
Risk,12
Focus,7
Immune,28
Systems,4
notch,3
Mucac,1
secretion,16
atmospheric,14
Titanium,9
Dioxide,9
Altered,8
lncRNA,6
Profile,7
Human,112
particle,33
Crotoxin,1
Mice,77
Impairment,3
Acetylcholine,2
Receptors,6
COX,14
Derived,20
Prostanoids,1
cooking,5
oil,20
fume,5
COF,1
Evidence,13
endoplasmic,29
reticulum,35
exposed,119
black,30
oxidized,9
edema,11
clinical,56
criteria,2
increased,18
extravascular,1
content,6
postmortem,1
gravimetry,1
lavage,4
dogs,2
Amino,2
biosynthetic,2
routes,4
drug,65
fungal,3
pathogens,2
known,3
need,2
know,1
more?,1
Astragaloside,6
IV,10
caused,31
inhibiting,98
NLRP/caspase,3
axis,49
Emerging,9
mechanistic,14
combustion,14
hazard,4
identifications,1
Graphene,4
family,9
nanomaterials,15
framework,4
Dosimetry,1
Rno_circRNA_,1
participates,3
formaldehyde,10
p/ATF,1
Genomic,10
Influences,2
Inhaled,11
Nanomaterials,11
Basis,1
Predicting,5
Resveratrol,11
Ameliorates,20
Induction,31
Tristetraprolin,1
FMRP,1
protects,97
facilitating,3
Neutrophil,7
traps,1
promote,19
cadmium,33
chloride,17
Dose,16
Dependent,27
Aerosolized,1
Vitamin,14
Acetate,2
Subacute,3
Necroptosis,3
Influencing,2
Th/Th,2
Balance,1
PIK/Akt/NF,1
GSK,7
model,150
cardiopulmonary,10
bypass,2
related,81
nanotubes,37
asbestos,48
similarities,3
differences,9
Chlorinated,2
benzenes,1
cause,13
concomitantly,2
apoptotic,56
markers,15
nonacute,1
Metabolism,18
Naphthalene,2
Postnatal,2
Age,5
Sex,8
biophysical,1
basis,8
disruption,12
surfactant,9
function,53
chemicals,5
roles,15
Ku/p,1
silica,95
cycle,57
changes,74
embryo,9
fibroblasts,40
acetylcysteine,15
management,16
chronic,52
complications,5
sulfur,22
literature,6
Hydrogen,12
sulfide,20
donor,2
NaHS,1
bronchitis,3
enhanced,23
Polyhexamethylene,1
guanidine,2
phosphate,14
arrest,31
impairs,18
differentiation,29
stem,57
Cell,184
transcription,31
Mechanisms,33
genotoxicity,26
fibers,9
infiltration,5
cytokine,33
tobacco,37
compound,26
methylnitrosamino,14
pyridyl,16
butanone,17
NNK,23
epigenetically,1
genes,51
AhR,16
factors,21
lead,9
Synergistic,19
protection,17
ischemia,3
reperfusion,3
calcineurin,1
thrombin,2
Prenatal,7
bisphenol,4
disrupts,3
fetal,22
Coenzyme,1
Q,2
modulation,25
autophagy,83
treated,52
Using,17
UPLC,2
QTOF/MS,1
multivariate,2
explore,5
mechanism,95
Bletilla,2
Striata,1
improving,5
impairment,6
Runt,1
Transcription,8
Factor,29
replication,6
progenitor,7
regeneration,8
requires,6
oncoprotein,1
MDM,4
Ozone,15
TLR/,2
Causal,2
Inference,1
Analysis,40
Poorly,2
Soluble,8
Low,28
Particles,13
Function,15
Malignancy,3
health,27
Cd/Zn,1
Axis,6
Concepts,2
Cellular,25
Fate,2
Cytotoxicity,27
Multiple,13
oxidants,2
pathogenesis,26
multi,35
walled,34
Proteomics,8
pig,4
metallic,6
nickel,27
various,7
interplay,6
derived,77
exosomes,11
regulate,15
alleviate,10
phosgene,10
miR,59
c,56
Duration,1
intensity,2
kappaB,32
activity,134
determine,2
severity,2
endotoxin,30
Alleviates,20
Silica,39
ÎºB/Inflammatory,1
herbicide,4
Microvesicle,2
miRNAs,6
Regulate,3
Macrophage,22
Following,11
treatment,138
essential,15
oils,1
Balb/c,3
Association,16
Cigarette,25
Smoke,14
Crocin,3
Critical,8
mitochondrial,84
aspiration,4
ALI,9
Uptake,4
cytotoxic,30
CoII,1
NiII,1
implications,21
carcinogenicity,8
Comparative,26
transcriptomes,1
Neglected,1
poisoning,5
Keap,6
sulfhydration,1
novel,150
microtissue,1
nanoparticle,42
matrix,16
alterations,25
Silver,18
COX/PGE,1
involves,9
alteration,13
senescence,13
Inhibition,96
cholinephosphotransferase,1
chloroethyl,4
ethyl,7
analog,13
Transcriptome,11
profiling,50
newborn,5
macrophage,50
functions,17
exacerbate,4
pneumococcus,1
nicotine,23
nitrosated,1
derivative,24
neuroendocrine,10
Akt,45
mediate,13
polyhexamethylene,2
ZEB,1
Candida,1
wall,4
glucan,5
Profiling,10
long,23
coding,8
RNA,39
Inorganic,5
arsenic,54
developmental,3
toxicant,2
utero,3
Alteration,5
WNT,2
crystalline,12
Genistein,3
',16
sodium,17
sulphonate,1
vascular,34
endothelial,85
BCL,10
signalling,44
Deepwater,1
Horizon,1
Oil,10
Spill,2
upon,11
Based,30
Seq,4
Analyses,5
intracerebroventricular,1
injection,6
rimonabant,1
Genome,8
wide,19
interaction,14
study,152
gene,144
occupational,7
FEV,2
levels,28
diesel,38
biodiesel,3
exhausts,2
Protection,5
half,1
Methylnitrosamino,2
cultured,17
monkey,3
explants,2
hyperreactivity,3
parenchymal,1
Development,30
silico,12
profiler,1
sensitisation,1
Selectively,1
decreased,7
peroxiredoxins,1
Lethal,3
perfluoroisobutylene,1
storm,1
pollutant,5
tris,2
dibromopropyl,2
isocyanurate,2
BALB/c,8
Elevated,1
Axin,1
without,17
genome,12
asthmatic,15
naphthalene,3
toward,6
target,41
organs,13
Pinocembrin,1
CYPA,9
multiple,34
Grape,2
seed,5
procyanidin,1
Pb,3
AMPK/Nrf/p,1
Functional,7
following,64
Sophorae,1
tonkinensis,1
radix,1
et,2
rhizome,2
material,3
omics,7
bioinformatics,7
analyses,14
pluripotent,7
conditioned,1
medium,1
suppresses,66
myofibroblast,20
Î/Smad,22
Perinatal,5
alters,23
spermatozoal,1
methylation,24
near,3
controlling,4
action,31
Biokinetics,1
barium,1
sulfate,9
chemical,28
injuries,7
countermeasure,1
Gas,2
explosion,1
blast,2
biomarker,10
identification,15
LC,7
MS,10
serum,15
metabolomics,21
profiles,27
radon,9
p/TACE/TGF,1
Î±/EGFR,2
Îº,2
Cardiopulmonary,2
dysregulated,6
reflexes,1
oleoresin,1
capsicum,1
early,25
stages,4
bud,1
tip,1
organoids,1
Petroleum,1
coke,1
leads,12
altered,8
secretome,2
Metabolomics,8
investigate,4
nanomaterial,6
SILAC,1
proteomic,11
copper,15
oxide,84
Jun,21
terminal,17
Kinase,35
Distress,6
Syndrome,8
Level,3
Long,18
Term,4
Inhalation,16
Exposures,4
Nickel,16
Oxide,15
Cr,2
VI,5
mitophagy,5
HMGA,1
PARK,1
inhalation,52
activates,21
responsive,5
regions,1
CNS,4
Twist,3
controls,9
permeability,15
altering,3
Tie,5
production,45
oxygen/nitrogen,2
Bleomycin,17
pleural,18
mesothelial,4
initiation,6
circular,1
ZCH,1
RNA/ZCH,1
Botrysphin,1
Nrf/ARE,2
Reactive,13
RNS,1
generation,13
mucociliary,1
Enhances,14
Stemness,3
Type,17
Quantitative,6
qAOP,1
using,83
bayesian,1
comparative,6
MWCNTs,3
safe,2
design,6
approach,36
Uranium,1
Toxicogenomics,3
high,44
doses,4
Trypacidin,1
spore,1
borne,2
toxin,14
Aspergillus,4
fumigatus,3
fumes,11
primary,27
alveolar,140
type,65
indoor,2
stove,1
fueled,2
different,38
biomasses,1
Electronic,6
aerosols,3
Involvement,26
channel,14
Aquaporin,1
C,48
Bacillus,4
anthracis,4
lethal,10
CDDO,3
breast,54
radiation,44
pyridyloxobutyl,3
adduct,8
oxo,1
pyridylbutylguanine,1
detected,3
A/J,13
Integrated,9
lipidomics,2
accumulation,10
polyunsaturated,2
lysoglycerophospholipids,1
microRNA,29
volatile,6
compounds,34
Nano,10
Science,1
application,8
toxicogenomics,1
Overexpression,10
Telomerase,2
Fas,10
FLIP,3
Upregulation,13
acrolein,8
sensitivity,19
differential,16
transcript,2
combination,63
provokes,2
cytotoxicity,80
Regulation,20
Foam,1
Formation,8
Nitrogen,3
Mustard,4
NM,3
Lipids,1
Magnetite,1
Identification,39
specific,59
FOSL,2
mediator,7
endotoxin/lipopolysaccharide,1
angiogenic,9
use,11
single,29
transcriptomics,10
predicting,2
hazards,2
complex,23
mixtures,4
polycyclic,8
aromatic,17
hydrocarbons,11
Biomarkers,17
Lungs,7
Smokers,2
Nonsmokers,1
Users,1
Diacetyl,1
Exposed,18
Airway,33
Secretome,3
New,29
Insights,7
Flavoring,2
Airways,4
Disease,20
Solitary,1
Cholinergic,1
Stimulation,2
Hyperreactivity,1
Distinct,9
Pro,8
Acquired,5
adapted,1
basal,4
level,8
metallothionein,3
Characterization,16
asbestos/asbestiform,1
Gene,57
flaxseed,1
toxicologically,2
relevant,10
Stromal,2
oleate,1
rabbits,5
Salvianolic,3
Nrf/Nox,1
redox,19
balance,4
CdÂ,1
global,8
proteome,5
Autophagy,21
release,35
zinc,21
ions,3
critical,13
triggered,20
Multi,12
nanotube,16
association,19
pathology,10
ATP,6
citrate,3
lyase,1
ACLY,1
epithelia,7
Beneficial,2
ascorbic,4
treat,9
Environmentally,1
Relevant,1
Concentrations,5
Microcystin,2
Leucine,2
Arginine,1
Causes,5
Barrier,10
PPA,2
Activity,39
Claudin,2
Ubiquitination,2
Comprehensive,10
metabolome,6
instillation,14
airborne,10
Interactions,4
flotillins,1
Methylation,5
Intra,3
Tracheal,1
transformation,41
Yunnan,1
tin,3
mine,3
smelting,1
PIK/ERK,1
NIH/T,1
proinflammatory,10
Quercetin,5
oxidant,12
heme,8
oxygenase,12
Metabolic,22
shift,1
mitochondria,31
Arsenite,6
downregulation,14
occludin,2
ROS/ERK/ELK/MLCK,1
ROS/p,4
Integrative,10
proteomics,12
exploring,4
ricin,8
fresh,1
Sulforaphane,4
MLE,3
ambient,34
Tri,2
acetylresveratrol,1
MAPK/SIRT,1
Assessment,11
F/HN,1
pseudotyped,1
lentivirus,1
clinically,1
vector,2
therapy,111
Tobacco,12
nitrosamine,6
methyl,11
nitrosamino,1
pyridinyl,2
butanal,1
NNA,1
impaired,6
replication/transcription,1
solubility,1
Trojan,1
horse,1
case,12
cobalt,8
Day,3
graphene,13
nanoplatelets,2
Sprague,5
Dawley,5
MicroRNA,19
hexanal,2
Fischer,2
Meta,4
means,3
identify,9
outcomes,7
engineered,8
capillary,7
exchange,2
ACE,7
chip,5
overview,3
one,8
day,3
TIMP,1
stimulating,6
proliferation,64
Amiodarone,4
line,49
Improvement,2
arterial,21
hypertension,43
epithelium,24
dual,16
cAMP/cGMP,1
monocrotaline,18
Evaluation,31
time,14
alpha,32
Endoplasmic,12
PERK,3
eIFÎ±,5
CHOP,3
methamphetamine,2
remodeling,24
Tissue,17
Large,2
Anesthetized,1
TGFÎ/Smad,1
polyhexamethyleneguanide,1
areosol,1
irreversible,3
subchronic,8
Integration,6
abrin,1
transcriptional,20
repair,58
tumorigenic,4
progression,37
Investigation,9
carcinogenic,15
mediation,3
ErbB,2
mimicking,1
microfluidic,3
platform,7
Antifibrinolytic,1
dissolution,2
characterization,17
Vagal,3
efferent,1
stimulation,10
Mesobuthus,1
tamulus,1
venom,7
Imbalanced,1
involving,14
concordance,1
studies,41
adducts,11
Transcriptomic,17
Sequencing,8
NCI,13
H,47
Synthetic,7
Cationic,3
Polypeptides,1
Mycoplasmas,1
bovis,1
EBL,1
Angiotensin,5
prevents,36
suppressing,42
ERK/,21
Differential,23
two,20
small,370
sized,5
polyvinylpyrrolidone,1
coated,11
Quantitation,2
bronchoalveolar,5
stable,5
isotope,1
dilution,1
liquid,19
chromatography,9
pressure,5
ionization,2
mass,13
spectrometry,11
Pyrrolidine,2
dithiocarbamate,2
PDTC/Cu,1
Phosphatase,2
tensin,2
homologue,3
deleted,2
chromosome,4
ten,1
PTEN,4
wound,4
characterize,1
FcÎRIIB,2
macrophages,82
corona,1
Deciphering,1
regulatory,19
Milano,1
summer,1
triggers,10
extra,2
events,9
Epigenetic,11
toxics,3
miRNA,23
Network,9
Interstitial,5
Macrophages,16
Treatment,50
Pluripotent,3
Stem,10
iPSC,1
cm,1
Injured,1
Rat,18
whole,9
body,4
Importance,5
surface,13
charge,2
soot,2
determining,4
scrutinize,1
assumption,1
genotoxic,15
PAHs,4
exert,5
common,5
mode,6
Original,1
Research,5
tungsten,5
golden,3
Syrian,3
hamsters,4
Bioavailability,2
mobilization,3
electro,1
acupuncture,2
maternal,6
points,1
perinatal,1
dysplasia,5
offspring,14
HPA,1
deregulated,3
quantification,2
insoluble,3
compartments,2
NHLF,1
interface,7
microfluidics,1
system,40
PFOS,1
spring,1
Hepatotoxicity,1
pneumotoxicity,1
styrene,10
glutathione,20
transferase,14
deficient,17
CeO,4
Normal,4
Vitro,31
lRn,1
encodes,1
required,15
clara,3
Hyaluronan,2
TLR,40
MyD,13
TIRAP,2
Culture,3
conditions,5
profoundly,1
phenotype,13
differentially,5
expressed,12
microRNAs,13
MWCNT,4
crocidolite,7
Markers,4
oxidative/nitrosative,1
intravenous,4
iron,15
Prediction,6
enrichment,2
Homo,1
sapiens,1
Drosophila,5
melanogaster,2
COPD,19
orthologs,1
modeling,11
genomic,9
fruit,3
fly,7
Size,6
nano,15
interferon,3
pattern,3
recognition,2
Highly,4
purified,1
light,3
chain,8
Proteome,7
indicate,1
involvement,18
Morin,1
'',3
pentahydroxyflavone,1
protected,2
Dichloroacetate,1
Decreases,4
Activates,5
Defense,1
Pneumocytes,1
Immunotoxicological,1
biodistribution,3
bismuth,2
selenide,1
BiSe,1
Ameliorative,2
Citrus,2
junos,1
Tanaka,1
Waste,1
Product,3
Water,8
Extract,13
Matter,19
RAGE/NF,1
neonate,1
Imaging,3
MLNB,1
TDZD,1
cytochromes,1
catalyze,1
coumarin,6
epoxidation,3
hydroxylation,1
SWCNTs,1
inhibit,35
heat,11
shock,25
HSP,11
keratinocytes,5
toxicoproteomic,2
extracts,24
PTFE,1
filters,1
acetone,1
Conditioned,1
Media,2
Adipose,5
Suppresses,11
Sidestream,2
Death,19
Specific?,1
Studies,16
Reveal,3
Common,4
Specific,12
Hepatic,4
Neuronal,3
Models,18
Tandem,1
tags,1
labeled,3
Biodistribution,5
radio,3
layer,3
Building,1
predictive,9
assays,6
imaging,8
artificial,3
intelligence,1
Eosinophils,1
Restrict,1
Exhaust,3
Proliferation,10
Interleukin,14
Mediated,48
Implications,12
Remodeling,5
stainless,5
mild,2
steel,6
metal,16
arc,2
welding,8
Response,38
CBL/J,4
Arsenic,29
Warburg,2
Acrolein,6
Seven,1
Inbred,1
Strains,2
Primary,5
Bronchial,22
Cultured,1
Air,16
Liquid,7
Interface,4
benzoÎ±pyrene,2
talk,4
aryl,18
NFATc,1
Next,3
Generation,6
Reveals,10
Responses,23
versus,15
doxycycline,1
bronchial,166
course,6
ubiquitin,5
proteasome,9
macroautophagy,1
lysosome,2
skeletal,5
muscle,24
failure,12
Bacterial,4
Test,1
Transcriptional,10
Material,1
Cycling,1
Quarantining,1
Epithelium,7
Indirect,2
inducing,35
cytokines,12
Amorphous,2
malignant,41
tumorigenesis,32
nitrofen,12
congenital,13
diaphragmatic,15
hernia,15
hypoplasia,3
Microarray,6
assisted,3
toxicological,10
investigations,1
boron,3
carbide,3
Sub,3
doxorubicin,18
Wistar,6
results,14
unaltered,1
NP,1
AITC,1
TRPA,5
NRF/HO,2
reverses,8
corticosteroids,2
insensitivity,4
oligomeric,1
proanthocyaniclins,1
pava,1
qnat,1
Persistent,4
lunar,2
Prolonged,2
chromate,3
homologous,8
recombination,2
North,3
Atlantic,1
right,4
whale,1
Eubalaena,1
glacialis,1
Hexavalent,4
Chromium,5
Homologous,3
Recombination,2
Repair,8
Cytoprotective,4
triphlorethol,1
Combined,31
NR,1
hr,1
exposures,18
inorganic,6
methylated,3
trioxide,4
Caloric,1
restriction,2
CBL/_,1
real,4
evaluate,5
VO,4
group,13
tumorigens,2
profile,23
days,2
mechanical,3
ventilation,6
heavy,4
fuel,5
shipping,1
emissions,5
show,4
strong,3
realistic,2
comparable,1
Alterations,9
toxins,5
BMP,3
attenuated,8
/Smad,1
Transcriptomics,1
peripheral,7
mucin,8
stimulated,11
residual,2
ash,6
beryllium,11
mRNA,17
exosomal,1
interactions,10
urban,19
fractions,7
murine,66
carbonyl,2
Mono,2
Co,14
Tract,2
Crystalline,8
Quartz,2
Submerged,1
Conditions,1
leukocyte,1
inhibitors,96
benzydamine,1
Tityus,2
discrepans,1
scorpion,3
identifies,14
physicochemical,2
determinants,2
discordant,1
energetic,2
strains,4
tumour,9
wild,11
double,10
crested,1
cormorants,2
Proteomic,9
carbonylation,2
useful,1
tool,3
unravel,1
chemically,6
biologically,2
metabolite,14
GC_GC,1
TOFMS,1
bone,17
marrow,18
reduce,9
wnta,1
wnt/Î,1
catenin,42
Zinc,11
interfere,1
homeostasis,8
neurobehavioral,2
smelter,2
plant,4
locations,1
Different,17
young,6
Genotoxic,7
pathophysiological,2
endpoints,6
vanilloid,3
TRPV,7
coal,6
epoxide,9
hydrolase,5
AUDA,1
decreases,18
p/Smad,1
Inflammatory,43
hippocampal,2
nasal,3
drip,1
Release,5
mineral,8
ores,1
fluids,1
TRAF,4
NADPH,10
Quinone,1
Oxidoreductase,1
NQO,2
Fluoride,2
cyclooxygenase,8
prostaglandin,7
Chemopreventive,5
efficacy,41
suberoylanilide,2
hydroxamic,2
SAHA,1
female,6
adaptation,3
multidrug,9
resistance,68
bacterial,10
butanediol,1
XRCC,3
sensitizes,16
Libby,7
amphibole,6
bronchiolar,4
acetate,4
crosstalk,2
translocator,1
Impaired,6
lysosomal,9
autophagic,13
flux,5
graphite,1
nanofibers,2
Genotoxicity,4
nitrobenzanthrone,3
aminobenzanthrone,1
MutaMouse,3
term,33
carboxylated,1
persistent,4
nuclear,37
kappa,10
GC,6
asthma,60
CaÂ+,1
Arylhydrocarbon,3
CBL/,7
dysfunction,47
Oxazolone,1
OXA,1
allergen,2
integrative,3
metabolomic,7
downregulated,1
tricarboxylic,1
tetrabromobisphenol,2
Indications,1
distinct,11
pathogenic,5
collected,7
Shanghai,1
China,10
occurs,3
Hypoxia,5
microvascular,13
phosphatidylinositol,11
Modification,3
hepatic,13
reductase,15
Dermatophagoides,1
pteronyssinus,1
regulates,61
nerve,5
Nanoparticle,8
Cytokine,7
HBEC,1
KT,1
Significance,3
Signalling,3
Cultures,2
mutagenic,3
FE,1
subacute,3
mortality,5
ZnO,7
three,9
laboratories,1
prenatal,5
nanosized,5
UV,2
Titan,1
hour,2
follow,1
phenylhydrazine,1
contribution,5
pro,27
thrombosis,3
amosite,4
cynomolgus,1
monkeys,1
repeated,8
Mitochondrial,33
localization,6
catalase,1
provides,2
optimal,1
HO,17
Secondhand,2
Prevalent,1
Polycyclic,10
Aromatic,5
Binary,1
Mixture,2
Mitogenic,1
Events,4
asphalt,1
paving,2
temperatures,1
trivalent,2
arsenicals,3
dimethylthioarsinic,1
inferred,1
saturated,1
aliphatic,2
aldehydes,4
number,2
interact,3
affecting,7
decline,2
general,3
population,4
efficient,5
controlled,10
deposition,8
aerosol,13
onto,2
cultures,8
Peroxisomes,1
future,11
prospects,5
organelles,1
biology,7
MAP,9
kinases,20
manganese,4
Subchronic,4
oral,26
rich,6
neonatal,21
Three,2
dimensional,4
mapping,2
tracheobronchial,1
airways,6
perfused,2
Biphasic,3
influence,7
composition,3
acidity,2
lining,1
fluid,10
nose,2
birch,1
beech,2
spruce,1
logs,1
gasotransmitters,1
Nanomaterial,3
materials,5
Similar,3
Canonical,3
Biological,21
Processes,2
Associated,22
Multiwalled,5
Nanotube,3
Asbestos,21
Year,1
Postexposure,1
Study,57
emission,2
constituents,4
GP,1
STAT,39
migration,45
sub,4
Potential,49
mixture,6
including,1
Chinese,28
hamster,7
CHL/IU,1
prostaglandins,1
Beijing,2
fucosterol,1
Sargassum,6
binderi,1
Sonder,1
ex,4
J,3
Agardh,2
Local,3
tolerability,6
'O,1
methoxyethyl,1
antisense,6
oligonucleotide,5
targeting,87
interleukin,25
delivery,38
correlation,3
Neurogenic,1
nitric,21
Opposed,1
arsenite,21
NFkappaB,4
Sodium,12
binding,24
precision,8
cut,4
slices,3
Global,6
Wuhan,1
helper,3
driven,11
innate,10
Novel,69
functional,18
view,3
intricate,1
opposing,1
Toxicology,2
Candidate,5
Modified,3
Shows,4
Reduced,4
Compared,1
Conventional,1
Nonredundant,1
TRIF,3
recurrent,4
short,11
fiber,5
extent,2
installation,1
large,4
sustained,3
b,11
BaP,5
diethylstilbestrol,1
DES,1
Mitochondria,11
Ghrelin,4
ghrelin,1
genetic,20
instability,6
coculture,3
situ,1
exhibit,8
lipid,21
droplet,1
synthesis,27
low,23
retention,3
absence,3
Disruption,9
biologic,1
benzo,4
pyrene,7
EF,7
multiwall,1
onions,1
hsp,1
toxicants,7
revealed,7
transgenic,6
Pembrolizumab,4
patients,143
performance,9
