,count
Identification,71
affected,7
Respiratory,20
Polyhexamethylene,2
Guanidine,1
Phosphate,2
Zebrafish,2
nanoparticles;,1
deposited,1
solubility,3
Beyond,3
Barrier,3
Transepithelial,1
Stress,31
Particulates,2
Fibroblasts,7
Organotypic,2
Toxicogenomics,3
high,57
doses,14
Molecular,59
CYPF,6
identification,25
frequent,4
functional,33
allelic,4
variant,13
Carcinogen,11
hypermethylation,12
DNMT,2
causal,3
immortalized,5
vasculature,3
directed,12
adenovirus,44
increases,54
lining,2
fluid,13
alpha,62
antitrypsin,21
Assay,5
lapatinib,4
cigarette,126
smoke,166
Transcriptomic,21
histopathology,2
polymers,7
reporter,9
plasmid,18
delivered,15
metered,1
inhaler,1
differentially,18
RAR,2
event,2
Marijuana,1
condensate,10
Epigenetic,21
toxics,2
Increased,19
serum,19
level,18
serves,4
biomarker,32
IÎºBÎ±,1
Study,81
hprt,1
mutagenisis,1
progression,43
hexanal,4
F,17
Aerosol,19
Akt,24
controls,13
translation,4
dual,14
luciferase,3
promote,24
DHPN,2
cause,14
reversible,4
hyperplasia,9
bronchioles,1
Linkage,1
candidate,16
Murine,24
major,17
regulator,16
contribution,4
ciliated,3
lineage,4
Birth,1
Modulation,37
transplacental,5
Functionalized,1
induce,69
Cloning,2
expressed,21
sequence,9
tags,2
transformed,45
embryonic,14
intervention,7
folic,2
antigen,28
presenting,3
activity,141
interstitial,18
Inflammation,56
methotrexate,7
occurs,3
MAPK,30
pathway,249
increased,36
vascular,51
endothelial,81
nitrogen,8
mustard,33
Transcription,16
Start,2
Sites,1
Enhancers,2
Responding,2
Carbon,27
Nanotube,8
Vivo,34
estrogenic,2
MicroRNA,35
Fischer,5
three,11
months,5
Mono,2
Co,12
Culture,4
Models,17
Tract,3
Exposed,15
Crystalline,5
Quartz,2
Submerged,1
Air,25
Liquid,10
Interface,8
Conditions,3
FOSL,2
novel,152
mediator,10
endotoxin/lipopolysaccharide,1
angiogenic,11
signaling,229
culture,24
Quantification,3
mutant,58
fraction,9
aerosolized,10
vanadium,8
pentoxide,5
Taurine,2
ameliorates,46
emphysema,19
switching,4
mitochondrial,48
NADH,1
dehydrogenase,12
Pinocembrin,1
multiple,36
Candidate,9
lncRNA,20
Pseudogene,1
Associated,37
Induced,203
Malignant,23
Prediction,9
Preventive,4
Drugs,6
Biological,23
effect,152
extraction,1
platelet,4
Temporal,3
hypoxia,30
redox,13
status,24
irradiated,2
carbonyl,7
chloride,19
Housekeeping,1
stability,9
pristane,1
arthritis,2
Conventional,1
toxicogenomic,5
damage,121
Cardiff,1
bioinformatics,6
microRNAs,21
reveals,49
insights,11
botulinum,1
Size,10
Interaction,7
CD,38
polymorphism,52
among,17
Kwazulu,1
Natal,1
Durban,1
Cypa,5
Cypb,4
adducts,23
Balb/c,3
methylcholanthrene,8
Carcinogenicity,3
pan,5
caspase,18
inhibitor,104
emricasan,1
TgrasH,2
apelin,1
Evans,2
saturated,1
aliphatic,1
aldehydes,2
number,9
molecules,10
involved,46
PEGylated,10
polyplex,4
optimized,4
shielding,1
introduction,1
minimizing,1
phenylhydrazine,1
pro,36
thrombosis,2
Activation,45
X,12
prevents,45
dominant,3
negative,23
spontaneous,8
Nanoparticles,49
Splice,1
Junction,2
Alternative,8
Splicing,3
Mice,97
Oral,11
Intraperitoneal,3
Studies,12
Thermally,2
Treated,22
Ceftiofur,1
CdÂ,1
proteome,8
skin,16
Mesenchymal,34
Stem,30
Alleviate,3
MiR,16
Controlled,4
Endothelial,29
Epigenetics,4
inositol,1
hexaphosphate,1
ethylnitrosourea,2
Catenin,8
necessary,3
maintenance,11
bronchiolar,4
epithelium,32
phosgene,3
overview,4
one,8
CYPAGFP,1
Benzene,3
BEAS,51
B,150
overexpressing,11
Late,7
organ,21
surge,1
interferon,12
characterizes,1
enterotoxin,9
lethality,5
Aberrant,15
adenocarcinomas,16
nitrosobis,9
hydroxypropylamine,9
concentrated,10
CAPs,3
VI,8
alleles,3
alkylguanine,1
alkyltransferase,1
intravenous,13
biomarkers,45
Chromium,6
nanoparticle,54
inhibits,154
surfactant,22
ROS,40
JNK/c,2
Jun,12
Involvement,30
activation,191
elevation,3
Fine,13
mapping,3
bleomycin,113
locus,12
Proteomics,5
Differentially,4
Expressed,2
Proteins,4
silenced,3
Particulate,20
matters,3
collected,16
ceramic,2
factories,1
Lampang,1
Province,1
affecting,8
Hazard,2
gasoline,9
ethanol,10
fuel,8
blends,1
cellular,58
CC,3
Clara,16
vinylphenol,1
radon,17
and/or,7
malignant,88
changed,1
neonatal,23
sources,5
conditions,9
profoundly,1
impact,30
phenotype,19
Classification,1
mutagenicity,18
Comparing,3
uptake,15
distribution,21
untreated,5
versus,34
oral,38
Cd,4
wild,22
ZIP,7
Increase,9
independent,26
elements,10
exon,25
determine,6
specificity,10
Chronic,38
microcystin,2
LR,5
caused,29
pathological,9
Single,33
SWCNTs,2
inhibit,17
HSP,6
keratinocytes,7
Deuterium,1
depleted,4
water,25
survival,51
Myc,8
Lgl,1
suppressed,7
animal,15
bronchopulmonary,9
dysplasia,9
normalizes,1
Specific?,1
Reveal,3
Common,3
Specific,26
Pathways,23
Hepatic,7
Neuronal,3
minimal,8
amyloid,2
Transdifferentiation,2
Cytotoxic,15
mutagenic,9
borne,2
free,22
fatty,9
CpG,13
island,2
represses,6
NQO,5
Prenatal,13
PFOS,2
spring,1
Bleomycin,26
sensitivity,39
expressing,41
Toxicological,12
evaluation,55
Aging,3
proteostasis,2
'vehicular,1
smog',1
Ochratoxin,1
Toxin,6
Induce,9
Clonogenicity,1
Migration,11
Colon,1
Carcinoma,16
Fibroblast,9
Lines,4
malondialdehyde,1
modified,36
simian,1
Radon,4
energy,5
malignantly,4
elastin,2
elastase,11
MWCNT,4
crocidolite,7
Amorphous,3
DMBA,7
deregulation,8
let,3
CBA/CA,1
pleural,28
short,20
copper,15
dissolution,1
Exacerbated,2
oxidant,16
deficient,43
anti,117
apoptogenic,1
Immunohistochemical,3
Bag,1
Bad,1
Bax,7
w,1
epithelia,12
Sensitivity,4
moderated,1
limited,2
repertoire,3
Nitrofen,2
independently,5
retinaldehyde,1
RALDH,1
inhibition,110
military,1
heavy,7
alloy,1
young,6
urbanites',1
brains,3
TiO,15
Pb,3
scrutinize,1
assumption,1
genotoxic,24
PAHs,11
exert,4
common,12
Qingfei,2
Xiaoyan,2
Wan,2
alleviates,34
asthma,70
Black,1
tea,7
extract,65
modulate,14
H,41
carcinoma,107
Persistent,9
lunar,2
dust,32
regulate,23
CFTR,5
channel,9
Bordetella,7
dermonecrotic,1
summer,1
triggers,8
extra,5
adverse,28
events,19
subset,1
CCSP,2
participates,4
Next,3
Generation,15
Reveals,13
Term,6
Exposures,6
Graphene,2
Oxide,12
Lipoxin,1
Screening,10
Cellular,29
Ultrafine,4
Particle,4
Fraction,2
isolated,15
catalase,5
CYPB,10
ex,7
Botrysphin,1
activating,34
Nrf/ARE,1
Quantitative,10
trait,3
regulating,57
PKC,3
content,4
Sodium,8
arsenite,30
AP,14
NFkappaB,2
submucosal,3
protective,27
fisetin,1
physiology,3
phosphine,1
poisoning,4
conscious,1
Use,15
assess,4
safety,51
industrial,5
Laser,2
capture,3
microdissection,2
consequent,3
toxicities,19
menthol,2
flavored,2
electronic,6
liquids,1
middle,2
ear,1
fullerenes,2
Cs,1
PA,7
smoking,27
Radiation,27
HK,6
tri,1
EMT,13
vanillin,1
oxidants/antioxidants,1
imbalance,4
overexpression,25
radical,7
producing,4
sequencing,17
cellulose,4
nanofibrils,2
Different,15
sulfiredoxin,3
ENU,2
mutagenesis,16
screen,6
functions,17
poisoned,1
toxicological,13
secondary,9
organic,34
macrophages,88
Intronic,1
RNAs,11
constitute,2
mammalian,24
Diethyl,2
arrest,27
HBE,19
tolerance,6
naphthalene,9
revealed,7
glycidyl,5
extracellular,27
superoxide,13
reduces,50
Integrated,5
highlights,1
aldehyde,5
upregulate,1
trigger,5
Integration,10
transcriptomics,13
proteomics,11
metabolomics,8
data,25
biological,41
abrin,1
approach,46
parenchymal,2
phase,116
cytotoxic,39
ion,4
J,3
Asbestos,19
Overlapping,1
Distinct,8
Profiles,7
Pathology,3
Swiss,4
Albino,1
CF,1
nose,2
Dihydropyrimidine,2
DPD,1
negatively,7
certain,1
nucleotide,31
aflatoxin,8
dependence,3
genotype,7
soluble,20
extracts,22
Libby,8
amphibole,9
amosite,5
trivalent,2
arsenicals,2
dimethylthioarsinic,1
chemokine,23
patterns,15
components,12
characteristic,1
Transcriptomics,3
ultrafine,27
oxidase,13
glutathione,38
depletion,6
Association,38
variation,10
altering,8
Novel,55
view,6
intricate,1
opposing,2
Noninvasive,1
imaging,12
lipid,42
optical,4
living,2
Aryl,19
axis,46
differentiation,32
arachidonic,5
second,19
hand,1
activates,19
asthmatic,17
miRNAs,9
pathophysiological,2
endpoints,8
evaluate,4
Keratinocyte,5
hsp,1
Curcumin,15
quartz,10
interpret,1
quantitative,11
integration,2
ontology,1
Subchronic,5
exhaust,89
DEP,9
interleukin,54
IL,138
kappaB,33
Adapted,1
reconciling,1
Vegf,1
injured,11
Adenovirus,13
EA,1
regulates,79
ICAM,8
interacting,3
regulators,5
interferes,4
pINKa,5
RASSFA,3
Chrysotile,1
oncogene,24
jun,2
Wistar,13
rats',2
Hydrocarbon,10
carcinogens,10
evade,1
defense,12
G,16
nontransformed,1
sensitization,8
chelators,1
epigenotoxic,3
GFNs,1
markers,24
types,5
Nanocubes,1
indium,4
Quinone,1
Oxidoreductase,2
Mediated,39
Analysis,48
humidifier,3
sterilizer,1
containing,27
polyhexamethyleneguanidine,1
RiVax,1
recombinant,29
subunit,14
vaccine,23
gavage,6
Deoxynivalenol,2
exacerbates,19
viral,31
bronchopneumonia,1
reovirus,3
infection,40
Man,1
made,4
mineral,11
fiber,7
oncogenes,7
JUN,3
FOS,2
calcitriol,2
analogue,11
EB,3
impairs,19
alveolarization,2
localized,4
regions,2
density,8
Haplotype,1
sharing,1
suggests,5
segment,1
six,4
accounts,2
adenoma,7
Pas,2
Regulation,33
Normal,7
Reduces,14
Toxicities,8
Smoke,25
Condensate,1
Receptor,49
Osteopontin,2
incorporating,2
sensitive,12
acylhydrazone,1
linker,3
synthesis,23
properties,37
Retinoic,5
septation,1
ENaC,3
Decreased,14
age,10
decline,6
variants,25
CCND,1
interact,2
general,3
population,17
sulfur,34
proto,7
suppressor,30
ability,7
mimic,5
Egr,5
master,2
switch,6
coordinating,1
upregulation,24
divergent,2
families,2
underlying,11
ischemic,1
inhibited,5
mixtures,5
Mutation,16
Ki,3
sterigmatocystin,1
drinking,9
recurrent,7
Addressing,1
challenges,8
vanilloid,3
TRPV,8
coal,15
fly,7
ash,9
material,2
PPAR,4
hyperbaric,3
Harderian,1
glands,2
acrylamide,3
Helper,1
Mapping,3
multiorgan,1
glucocorticoid,12
Metabolic,9
used,6
testing,8
working,3
example,2
retention,1
absence,7
identifies,25
physicochemical,7
determinants,9
coplanar,2
polychlorinated,4
biphenyls,4
PCBs,5
direct,9
agonists,4
pregnane,1
constitutive,7
androstane,1
activate,11
manner,12
reversal,5
High,37
transgene,15
vectors,31
hybrid,4
EGFR,147
activated,48
actin,4
remodeling,24
cyclic,2
stretch,1
oligodeoxynucleotides,3
Sub,2
ohm,1
vaping,1
carbonyls,1
liquid,22
interface,16
CREBL,1
Mitochondrial,22
Apoptosis,33
PIK/Akt,5
Pathway,45
injection,18
helper,7
nonhuman,5
primates,3
Seasonal,2
influences,7
cytokines,22
CBl/,2
alcohol,12
histone,31
HK/,1
acetylation,7
mid,1
gestation,5
leukemia,20
confers,6
Application,12
pertussis,8
control,21
Sequential,3
effectively,8
transfects,1
panel,6
monitor,1
inferred,1
genome,26
manganese,8
Limited,5
constructs,3
osteosarcoma,19
Airborne,12
contribute,12
tumour,17
suppressing,15
double,16
crested,1
cormorants,2
Minimal,2
stabilized,3
compacted,3
chlorine,7
gas,11
produces,3
transient,10
progressive,4
composition,7
accompanying,1
mitochondria,8
Genotoxic,18
dibenzoalpyrene,2
Cardiovascular,5
Bacterial,7
Test,2
butadiene,11
isoprene,2
photochemical,1
degradation,14
Antioxidant,9
Element,2
Indicator,2
Developing,3
Rats,34
Upregulation,19
xanthine,4
Promoter,6
responsible,4
antioxidant,31
MCP,6
Ni,4
NiO,8
investigated,2
comet,6
assay,25
HAX,2
staining,2
Hprt,2
ToxTracker,1
potentially,6
deleterious,3
flavin,2
monooxygenase,4
*,3
throughout,1
Saharan,1
Africa,1
Dextran,1
spermine,6
polyplexes,8
local,14
Arsenite,6
diol,12
epoxide,19
BPDE,10
marked,2
quality,3
particulates,5
Beijing,6
China,23
nitropyrene,4
intact,2
preparation,2
metallic,2
heme,15
oxygenase,18
potassium,1
octatitanate,1
whiskers,1
Reexamination,1
electrophile,1
element,7
sequences,6
context,5
lack,3
consensus,4
bitumen,2
Soot,2
biotransformation,4
Proteomic,6
bronchoalveolar,7
lavage,6
Mutability,1
hotspot,2
codons,2
nontumorous,1
sex,9
signs,3
sickness,1
expressions,24
Nonredundant,1
alphabeta,2
gammadelta,1
acrolein,19
Bvg,1
virulence,20
plays,12
pathogenicity,5
Evidence,12
fibrogenicity,1
Allele,2
ILB,1
T/C,1
haemolysin,1
full,3
uropathogenic,1
Escherichia,10
coli,11
strain,11
nanosized,6
derivatives,16
Susceptibility,13
flame,9
soot,5
blocker,2
amlodipine,1
exerts,13
pWaf/Cip,1
ErbB,3
receptor's,1
signal,13
kinases,13
dusts,4
Ubiquitous,1
forkhead,1
box,5
MB,3
accelerates,8
proliferation,58
Highly,9
naÃ¯ve,4
nude,10
prostate,22
Virulence,4
Staphylococcus,15
aureus,14
Erk,2
MAP,4
kinase,129
Fos,2
HBEo,2
Combustion,3
generates,2
reactive,41
species,48
antioxidants,9
differently,4
SWCNT,2
suppress,15
lacZ,5
cII,5
muta,1
Matrix,5
metalloproteinase/epidermal,1
receptor/mitogen,1
fra,4
epidermal,57
targeted,73
bis,5
chloroethyl,6
sulfide,12
oligonucleotide,7
arrays,2
analyze,2
Codelivery,3
decoy,3
oligodeoxynucleotide,1
improves,29
LPD,1
toxicogenomics,5
provide,8
information,2
bioreactivity,1
particles?,1
Free,2
inactivation,16
Mitochondria,6
halothane,1
Brown,4
Norway,4
ovalbumin,23
measurements,3
relation,6
fed,1
tar,8
Ras,16
elevations,1
gamma,21
glutamylcysteine,6
synthetase,8
Systemic,31
phosphonolipids/DNA,1
complexes,23
relationship,15
humanized,5
controlled,19
transactivator,1
islands,1
BEPD,2
Inhibition,78
lysyl,3
substrates,1
resistant,35
Reduction,7
postnatal,9
monooxygenases,1
coated,13
onto,2
apoptotic,30
Sprague,16
Dawley,16
rat's,1
benzidine,1
express,7
hydroquinone,5
display,7
tolerant,1
MRC,4
cNDAs,1
Trans,2
hydroxy,4
nonenal,2
aldehydic,1
peroxidation,6
product,12
lacks,2
lacI,2
reflective,1
naphthoquinone,3
responsiveness,11
presence,4
Systems,12
biology,12
four,6
driven,25
monitoring,2
CDDO,3
breast,66
big,4
blue,3
ethylene,5
Pyrrolizidine,1
alkaloid,2
subacute,3
feeding,3
retargeted,1
exhibit,11
biolocalization,1
pattern,8
reduced,32
relative,4
native,2
rescues,5
innervation,3
peristalsis,1
hypoplastic,13
iron,34
antibacterial,4
structure,17
combination,54
mesenchymal,71
stem,79
exosomes,6
susceptible,8
WTC,4
goblet,6
ions,7
Ion,1
permeation,1
Pharmacological,11
leukotrienes,2
nanoplatelet/epoxy,1
composites,1
Wuhan,1
Neurogenic,1
various,5
engine,8
versatile,1
crosstalk,1
translocator,1
toxicokinetic,1
phortress,1
amino,10
methylphenyl,1
fluorobenzothiazole,1
lysylamide,1
dihydrochloride,1
Nickelii,1
oxidation,7
methylcytosine,1
somatic,5
perfluorooctanoic,2
TRPA,11
Relationships,2
Chemical,9
Composition,2
Potency,2
Dynamic,9
Triggered,4
Autoimmune,2
Lupus,7
Prone,2
NZBWF,2
PIM,2
driver,10
aging,9
persistent,9
Examination,1
Surfactant,5
Protein,40
Biomarker,10
Evaluating,9
Rat,15
Heterogeneity,2
be?,1
computational,3
persistence,5
nanoplatelets,2
may,10
disturb,3
physiological,5
Delay,1
xeroderma,3
pigmentosum,3
group,18
XPA,5
phenyl,3
imidazo,2
b,22
pyridine,2
PhIP,1
Reactive,7
RNS,1
linked,12
mobility,5
trace,1
constituent,5
Termitomyces,1
